ANTH232,"[b'ANTH' b'HIST' b'GSWS' b'PHIL' b'RELC' b'AHST' b'AAAS' b'CLTR' b'WRTG'
 b'ENGL']","[0.97956914 0.08100265 0.03428075 0.02943656 0.02715458 0.02685874
 0.02524366 0.02302213 0.02257939 0.01847671]"
ANTH233,"[b'PSCI' b'GSWS' b'ANTH' b'RELC' b'AAAS' b'HIST' b'ENGL' b'WRTG' b'CLTR'
 b'AHST']","[7.1610993e-01 7.1332103e-01 6.7728740e-01 5.4487610e-01 5.3760916e-01
 3.0421922e-03 1.7967854e-03 6.7193300e-04 3.0808800e-04 2.3402914e-04]"
ANTH240,"[b'MUSC' b'ANTH' b'AAAS' b'GSWS' b'PHLT' b'PSCI' b'ENGL' b'WRTG' b'HIST'
 b'BCSC']","[0.8284964  0.7262217  0.71900535 0.71373576 0.6776122  0.00299482
 0.00271473 0.00242    0.00239246 0.00166592]"
ANTH243,"[b'AAAS' b'GSWS' b'ANTH' b'EHUM' b'HIST' b'ENGL' b'PSCI' b'CLTR' b'AHST'
 b'WRTG']","[0.64189273 0.6406138  0.62372875 0.6173635  0.00633811 0.00494923
 0.00190496 0.00190412 0.00156041 0.00154079]"
ANTH251,"[b'RELC' b'AHST' b'HIST' b'ENGL' b'GSWS' b'WRTG' b'AAAS' b'CLTR' b'DANC'
 b'PSCI']","[9.1378129e-01 6.2421202e-03 4.7717788e-03 2.5578032e-03 1.0707965e-03
 5.5457716e-04 4.2603663e-04 4.1472923e-04 2.7982358e-04 1.2607673e-04]"
ANTH257,"[b'ANTH' b'GSWS' b'AHST' b'ENGL' b'HIST' b'CLTR' b'RELC' b'AAAS' b'PSCI'
 b'WRTG']","[9.5261312e-01 5.1078349e-03 3.2009780e-03 2.7092537e-03 2.5121698e-03
 2.4121569e-03 1.1670364e-03 1.0653498e-03 1.0465707e-03 5.9260632e-04]"
ANTH262,"[b'ANTH' b'MUSC' b'PSCI' b'CASC' b'INTR' b'CHEM' b'PHLT' b'CSC' b'HIST'
 b'ENGL']","[0.83854944 0.554986   0.5316095  0.46657997 0.452018   0.3998891
 0.3936431  0.3453439  0.34201157 0.33210838]"
ANTH265,"[b'ANTH' b'PSYC' b'PSCI' b'PHLT' b'BCSC' b'ENGL' b'PHIL' b'GSWS' b'DMST'
 b'CLTR']","[0.96387756 0.24304374 0.21931317 0.21141846 0.16080973 0.15980598
 0.14267841 0.12254126 0.11546376 0.0897582 ]"
ANTH296,"[b'ANTH' b'AHST' b'ENGL' b'HIST' b'PSCI' b'MUSC' b'AAAS' b'WRTG' b'CLTR'
 b'GSWS']","[0.85441476 0.8539098  0.03880057 0.02268463 0.01676523 0.01018205
 0.00915072 0.00857589 0.0083152  0.00634209]"
ANTH315,"[b'HIST' b'MATH' b'AHST' b'CLTR' b'RELC' b'ANTH' b'CSC' b'PSCI' b'PHIL'
 b'WRTG']","[0.17346737 0.164491   0.14505862 0.13464703 0.13461271 0.13062449
 0.10960447 0.1053078  0.10256165 0.08679775]"
ANTH390,"[b'ANTH' b'MUSC' b'CASC' b'PHLT' b'PSCI' b'ENGL' b'BCSC' b'WRTG' b'BME'
 b'DMST']","[0.9547731  0.21867451 0.21838684 0.2123317  0.1623139  0.14424667
 0.12815665 0.10966035 0.10201477 0.09021906]"
ANTH405,"[b'ANTH' b'EHUM' b'ENGL' b'HIST' b'AAAS' b'GSWS' b'AHST' b'PSCI' b'RELC'
 b'JPNS']","[0.98118925 0.14238667 0.04097116 0.04053726 0.03532142 0.0321219
 0.02313237 0.01842558 0.0169855  0.01606514]"
ANTH432,"[b'ANTH' b'HIST' b'GSWS' b'PHIL' b'RELC' b'AHST' b'AAAS' b'CLTR' b'WRTG'
 b'ENGL']","[0.97956914 0.08100265 0.03428075 0.02943656 0.02715458 0.02685874
 0.02524366 0.02302213 0.02257939 0.01847671]"
ANTH433,"[b'PSCI' b'GSWS' b'ANTH' b'RELC' b'AAAS' b'HIST' b'ENGL' b'WRTG' b'CLTR'
 b'AHST']","[7.1610993e-01 7.1332103e-01 6.7728740e-01 5.4487610e-01 5.3760916e-01
 3.0421922e-03 1.7967854e-03 6.7193300e-04 3.0808800e-04 2.3402914e-04]"
ANTH457,"[b'ANTH' b'GSWS' b'AHST' b'ENGL' b'HIST' b'CLTR' b'RELC' b'AAAS' b'PSCI'
 b'WRTG']","[9.5261312e-01 5.1078349e-03 3.2009780e-03 2.7092537e-03 2.5121698e-03
 2.4121569e-03 1.1670364e-03 1.0653498e-03 1.0465707e-03 5.9260632e-04]"
ARBC102,"[b'ARBC' b'MUSC' b'ENGL' b'DANC' b'ITAL' b'SPAN' b'WRTG' b'MATH' b'HIST'
 b'GSWS']","[0.96530515 0.06748156 0.03040219 0.01416911 0.01205451 0.01180332
 0.01074875 0.00902711 0.00811696 0.00776623]"
ARBC104,"[b'ARBC' b'ENGL' b'CASC' b'MATH' b'WRTG' b'MUSC' b'PSYC' b'PHIL' b'OPT'
 b'CSC']","[0.96474063 0.12185226 0.1203474  0.09862854 0.08493926 0.07838762
 0.05886857 0.05781056 0.05394077 0.0499688 ]"
ARBC206,"[b'ARBC' b'MUSC' b'BIOL' b'ENGL' b'FREN' b'SPAN' b'JPNS' b'CASC' b'LING'
 b'CSC']","[0.9652452  0.2492929  0.23744288 0.17095678 0.14923888 0.12200232
 0.09950558 0.09367731 0.08589526 0.08323681]"
ASLA101,"[b'ASLA' b'ENGL' b'WRTG' b'DANC' b'RELC' b'PSCI' b'CSC' b'CASC' b'FREN'
 b'HIST']","[0.97047836 0.00693406 0.00406168 0.00275598 0.00238265 0.00234889
 0.00204055 0.00146754 0.00141367 0.00130602]"
ASLA101,"[b'ASLA' b'ENGL' b'WRTG' b'DANC' b'RELC' b'PSCI' b'CSC' b'CASC' b'FREN'
 b'HIST']","[0.97047836 0.00693406 0.00406168 0.00275598 0.00238265 0.00234889
 0.00204055 0.00146754 0.00141367 0.00130602]"
ASLA101,"[b'ASLA' b'ENGL' b'WRTG' b'DANC' b'RELC' b'PSCI' b'CSC' b'CASC' b'FREN'
 b'HIST']","[0.97047836 0.00693406 0.00406168 0.00275598 0.00238265 0.00234889
 0.00204055 0.00146754 0.00141367 0.00130602]"
ASLA101,"[b'ASLA' b'ENGL' b'WRTG' b'DANC' b'RELC' b'PSCI' b'CSC' b'CASC' b'FREN'
 b'HIST']","[0.97047836 0.00693406 0.00406168 0.00275598 0.00238265 0.00234889
 0.00204055 0.00146754 0.00141367 0.00130602]"
ASLA101,"[b'ASLA' b'ENGL' b'WRTG' b'DANC' b'RELC' b'PSCI' b'CSC' b'CASC' b'FREN'
 b'HIST']","[0.97047836 0.00693406 0.00406168 0.00275598 0.00238265 0.00234889
 0.00204055 0.00146754 0.00141367 0.00130602]"
